"","GSM1679409","GSM1679410","GSM1679411","GSM1679412","GSM1679413","GSM1679414"
"MAPK12",5.37199186933333,5.39383541266667,5.38934168133333,5.61257144533333,5.42899072366667,5.54389729166667
"MAPK13",7.094264658,7.144403503,7.05329631,7.135590311,7.165203225,6.8644449505
"MAPK14",6.1690924065,6.2627823735,6.2470973705,6.1617439675,6.1847956045,6.03803631875
"MAPK15",5.302845073,5.201071242,5.376425229,5.0723266835,5.155698795,5.370195077
"MAPK1IP1L",8.7086585168,8.6697986576,8.6975705974,8.7040104678,8.8944930724,8.9166538562
"MAPK3",8.488788363,8.575422694,8.311966241,8.522012476,8.453028651,8.738235102
"MAPK4",3.91503002666667,3.758036324,3.759018023,3.957337702,3.795112646,4.046419536
"MAPK6",7.869417615,7.9404527135,7.893895789,7.7068493735,7.8590882545,7.607899335
"MAPK7",6.7698178755,6.7157600135,6.771260816,6.786001862,6.8337497825,6.554138686
"MAPK8",5.6891572522,5.7024775436,5.7506002312,6.0367599304,6.064273981,6.032804004
"MAPK8IP1",5.1798639365,5.175396002,5.1512042105,5.2681902715,5.069081737,5.25731639
"MAPK8IP2",6.26841653866667,6.28375864833333,6.26218304833333,6.203372815,6.21114249766667,6.45335359666667
"MAPK8IP3",6.1184407694,6.123752959,6.0391544378,6.2100614188,6.0642307042,6.1383110744
"MAPK8IP3-AS1",3.463028685,3.115957838,3.494551625,3.600455033,3.400875364,3.7940747
"MAPK9",8.58509922833333,8.64073579466667,8.52237469233333,8.39388385233333,8.61456683,8.58549242233333
"MAPKAP1",7.29077253775,7.27958979425,7.27028945925,6.9148612865,6.90014840425,6.8692417115
"MAPKAPK2",6.91680287133333,6.859409888,6.84550002866667,7.10921930066667,7.19437403933333,7.08924695433333
"MAPKAPK3",6.928710856,6.923905498,6.789329638,6.5680930895,6.507409507,6.5785546325
"MAPKAPK5",6.76407012166667,6.771672603,6.81333953033333,6.43631140666667,6.71357340733333,6.56002903533333
"MAPKAPK5-AS1",7.89533795833333,7.873705756,7.63774309,7.422712958,7.355004257,7.08126069766667
"MAPKBP1",5.3525723595,5.1823009575,5.407777991,5.3910914865,5.391499943,5.182244846
"MAPRE1",9.40572119,9.5078451875,9.6671361065,9.8155270835,9.7282835635,9.73146993
"MAPRE2",4.81066328466667,4.68730377733333,4.806974545,4.69242558366667,4.73161675866667,4.819317183
"MAPRE3",5.221713878,5.10706375,5.206408999,5.04917944425,5.02019589425,5.0233575715
"MAPT",6.28992162516667,6.32082678,6.283367656,6.65064778366667,6.5963016245,6.68236593183333
"MAPT-AS1",5.62516543,5.66506751633333,5.48659908366667,5.90304991966667,5.72990664566667,5.82751300166667
"MARCHF1",2.62401766375,2.7282271845,2.767111436,2.75303675325,2.89083461975,2.81472417975
"MARCHF10",4.6777859,4.6261358145,4.7008512825,4.6801978535,4.4570677305,4.7154103175
"MARCHF10-DT",5.600829572,5.53871679,5.90206591,5.731536694,5.80028644,5.712112807
